"count";"taxontreedefid";"rank_";"taxon_full_name"
1;13;genus;Allanblackia
1;13;genus;Allantodia
1;13;genus;Alliaria
1;13;genus;Allium
1;13;genus;Allmania
1;13;genus;Allocasuarina
1;13;genus;Allocasuaarina
1;13;genus;Alloispermum
1;13;genus;Alloneuron
1;13;genus;Allophyllus
1;13;genus;Allophylus
1;13;genus;Alloplectus
1;13;genus;Alloteropsis
1;13;genus;Alnus
1;13;genus;Alocasia
1;13;genus;Aloe
1;13;genus;Aloinella
1;13;genus;Alomia
1;13;genus;Alonsoa
1;13;genus;Alopectus
1;13;genus;Alopecurus
1;13;genus;Aloysia
1;13;genus;Alphitonia
1;13;genus;Alphonsea
1;13;genus;Alpinia
1;13;genus;Alpova
1;13;genus;Alseis
1;13;genus;Alseuosmia
1;13;genus;Alsodeiopsis
1;13;genus;Alsophila
1;13;genus;Alstonia
1;13;genus;Alstroemeria
1;13;genus;Altensteinia
1;13;genus;Alternanthera
1;13;genus;Althaea
1;13;genus;Althenia
1;13;genus;Altingia
1;13;genus;Altingiaceae
1;13;genus;Alvaradoa
1;13;genus;Alysicarpus
1;13;genus;Alyssum
1;13;genus;Alyxia
1;13;genus;Alzateaceae
1;13;genus;Amalocalyx
1;13;genus;Amanita
1;13;genus;Amaracarpus
1;13;genus;Amaranthus
1;13;genus;Amaryllis
1;13;genus;Amauroderma
1;13;genus;Amauropelta
1;13;genus;Amblyolepis
1;13;genus;Amblystegium
1;13;genus;Ambrosia
1;13;genus;Amelanchier
1;13;genus;Amenthotaxus
1;13;genus;Amentotaxus
1;13;genus;Amherstia
1;13;genus;Amicia
1;13;genus;Amischolotype
1;13;genus;Amischotolype
1;13;genus;Amiscolype
1;13;genus;Amiscotolype
1;13;genus;Amithostigma
1;13;genus;Ammandra
1;13;genus;Ammannia
1;13;genus;Ammi
1;13;genus;Ammocharis
1;13;genus;Ammodendron
1;13;genus;Ammophila
1;13;genus;Ammopiptanthus
1;13;genus;Ammosperma
1;13;genus;Ammothamnus
1;13;genus;Amomum
1;13;genus;Amomun
1;13;genus;Amomyrtella
1;13;genus;Amorimia
1;13;genus;Amorpha
1;13;genus;Amorphophallus
1;13;genus;Ampalis
1;13;genus;Ampelocissus
1;13;genus;Ampelopsis
1;13;genus;Ampelopteris
1;13;genus;Ampelosicyos
1;13;genus;Amphibolis
1;13;genus;Amphibromus
1;13;genus;Amphicarpa
1;13;genus;Amphicarpaea
1;13;genus;Amphidasya
1;13;genus;Amphidium
1;13;genus;Amphilobium
1;13;genus;Amphilophium
1;13;genus;Amphineurion
1;13;genus;Amphineuron
1;13;genus;Amphiodon
1;13;genus;Amphioneuron
1;13;genus;Amphipterygium
1;13;genus;Amphirrhox
1;13;genus;Amphiscirpus
1;13;genus;Amsinckia
1;13;genus;Amydrium
1;13;genus;Amygdaloideae
1;13;genus;Amyridoideae
1;13;genus;Amyris
1;13;genus;Amytrium
1;13;genus;Anabasis
1;13;genus;Anacampseros
1;13;genus;Anacamptis
1;13;genus;Anacdia
1;13;genus;Anacolea
1;13;genus;Anacolia
1;13;genus;Anacolosa
1;13;genus;Anacyclus
1;13;genus;Anadelphia
1;13;genus;Anadenanthera
1;13;genus;Anadendrum
1;13;genus;Anagallis
1;13;genus;Anagyris
1;13;genus;Anamaria
1;13;genus;Ananthacorus
1;13;genus;Anaphalis
1;13;genus;Anaptychia
1;13;genus;Anarrhinum
1;13;genus;Anarthropteris
1;13;genus;Anastrophyllum
1;13;genus;Anatherostipa
1;13;genus;Anaxagora
1;13;genus;Anaxagorea
1;13;genus;Anchomanes
1;13;genus;Anchusa
1;13;genus;Ancistrocarpus
1;13;genus;Ancistrothyrsus
1;13;genus;Ancylobothrys
1;13;genus;Andinoscirpus
1;13;genus;Andira
1;13;genus;Andrachne
1;13;genus;Andreaea
1;13;genus;Andriana
1;13;genus;Androcymbium
1;13;genus;Andrographis
1;13;genus;Andromeda
1;13;genus;Andropogom
1;13;genus;Andropogon
1;13;genus;Andropopgon
1;13;genus;Androsace
1;13;genus;Andryala
1;13;genus;Anechites
1;13;genus;Aneilema
1;13;genus;Aneilena
1;13;genus;Anemia
1;13;genus;Anemone
1;13;genus;Anemopaegma
1;13;genus;Anemopsis
1;13;genus;Anerincleistus
1;13;genus;Anetanthus
1;13;genus;Anetium
1;13;genus;Aneulophus
1;13;genus;Aneura
1;13;genus;Angelesia
1;13;genus;Angelica
1;13;genus;Angelphytum
1;13;genus;Angiopteris
1;13;genus;Angostura
1;13;genus;Anguloa
1;13;genus;Aniseia
1;13;genus;Anisocampium
1;13;genus;Anisocapparis
1;13;genus;Anisochilus
1;13;genus;Anisomeles
1;13;genus;Anisomeridium
1;13;genus;Anisoptera
1;13;genus;Anisosepalum
1;13;genus;Anisosperma
1;13;genus;Anisothecium
1;13;genus;Anloxina
1;13;genus;Annona
1;13;genus;Anoda
1;13;genus;Anodendron
1;13;genus;Anodiscus
1;13;genus;Anoectangium
1;13;genus;Anoectochilus
1;13;genus;Anoetochilus
1;13;genus;Anogeissus
1;13;genus;Anogramma
1;13;genus;Anomianthus
1;13;genus;Anomobryum
1;13;genus;Anomodon
1;13;genus;Anomospermum
1;13;genus;Anotis
1;13;genus;Antennaria
1;13;genus;Antenoron
1;13;genus;Anteroporuna
1;13;genus;Anthaenantia
1;13;genus;Anthefora
1;13;genus;Anthemis
1;13;genus;Anthephora
1;13;genus;Anthericum
1;13;genus;Antheroporum
1;13;genus;Anthoceros
1;13;genus;Anthochlamys
1;13;genus;Anthochloa
1;13;genus;Anthocleista
1;13;genus;Anthodiscus
1;13;genus;Anthogonium
1;13;genus;Anthonotha
1;13;genus;Anthophyum
1;13;genus;Anthopterus
1;13;genus;Anthospermum
1;13;genus;Anthostema
1;13;genus;Anthoxanthum
1;13;genus;Anthoxantum
1;13;genus;Anthracoidea
1;13;genus;Anthriscus
1;13;genus;Anthurium
1;13;genus;Anthyllis
1;13;genus;Antiaropsis
1;13;genus;Antidesma
1;13;genus;Antidesmia
1;13;genus;Antigonon
1;13;genus;Antigramma
1;13;genus;Antinoria
1;13;genus;Antirhea
1;13;genus;Antirhoea
1;13;genus;Antirrhinoideae
1;13;genus;Antirrhinum
1;13;genus;Antitrichia
1;13;genus;Antonelli 
1;13;genus;Antonia
1;13;genus;Antopetitia
1;13;genus;Antrocaryon
1;13;genus;Antrodiella
1;13;genus;Antrophyum
1;13;genus;Anubias
1;13;genus;Anzia
1;13;genus;Aoranthe
1;13;genus;Aosa
1;13;genus;Apama
1;13;genus;Aparisthmium
1;13;genus;Apeiba
1;13;genus;Apelandra
1;13;genus;Apera
1;13;genus;Aphaenandra
1;13;genus;Aphanactis
1;13;genus;Aphanamixis
1;13;genus;Aphananthe
1;13;genus;Aphandra
1;13;genus;Aphanelytrum
1;13;genus;Aphanes
1;13;genus;Aphania
1;13;genus;Aphanopetalaceae
1;13;genus;Aphanopetalum
1;13;genus;Aphanostylis
1;13;genus;Aphelandra
1;13;genus;Aphelandrella
1;13;genus;Aphloia
1;13;genus;Aphloiaceae
1;13;genus;Aphyllanthaceae
1;13;genus;Aphyllanthes
1;13;genus;Aphyllophorales
1;13;genus;Aphyllorchis
1;13;genus;Apios
1;13;genus;Apium
1;13;genus;Apluda
1;13;genus;Apoballis
1;13;genus;Apochiton
1;13;genus;Apocopis
1;13;genus;Apocynoideae
1;13;genus;Apodostigma
1;13;genus;Apollonias
1;13;genus;Aponogeton
1;13;genus;Aponogetonaceae
1;13;genus;Aporocactus
1;13;genus;Aporosa
1;13;genus;Aporusa
1;13;genus;Apostasia
1;13;genus;Appendicula
1;13;genus;Appendiculopsis
1;13;genus;Aptandra
1;13;genus;Aptenia
1;13;genus;Apteria
1;13;genus;Aptychella
1;13;genus;Aquilaria
1;13;genus;Aquilegia
1;13;genus;Arabidella
1;13;genus;Arabidopsis
1;13;genus;Arabis
1;13;genus;Arachis
1;13;genus;Arachniodes
1;13;genus;Arachnis
1;13;genus;Arachnothryx
1;13;genus;Araiostegia
1;13;genus;Aralia
1;13;genus;Aralidium
1;13;genus;Araucaria
1;13;genus;Araujia
1;13;genus;Arbutus
1;13;genus;Archangiopteris
1;13;genus;Archiboehmeria
1;13;genus;Archidendron
1;13;genus;Archidendropsis
1;13;genus;Arctagrostis
1;13;genus;Arctostaphylos
1;13;genus;Arctotis
1;13;genus;Arcypteris
1;13;genus;Arcyria
1;13;genus;Arcytophyllum
1;13;genus;Ardisia
1;13;genus;Ardisiandra
1;13;genus;Areca
1;13;genus;Aremonia
1;13;genus;Arenga
1;13;genus;Aretiastrum
1;13;genus;Argantoniella
1;13;genus;Argemone
1;13;genus;Arginetia
1;13;genus;Argophyllaceae
1;13;genus;Argophyllum
1;13;genus;Argostema
1;13;genus;Argostemma
1;13;genus;Argyranthemum
1;13;genus;Argyreia
1;13;genus;Argyrochosma
1;13;genus;Argyrodendron
1;13;genus;Argyrolobium
1;13;genus;Argythamnia
1;13;genus;Arisaema
1;13;genus;Aristea
1;13;genus;Aristeguietia
1;13;genus;Aristida
1;13;genus;Aristolochia
1;13;genus;Aristotelia
1;13;genus;Armatocereus
1;13;genus;Armeria
1;13;genus;Armillariella
1;13;genus;Armoracia
1;13;genus;Arnaldoa
1;13;genus;Arnebia
1;13;genus;Arnica
1;13;genus;Arnoseris
1;13;genus;Arrabidaea
1;13;genus;Arracacia
1;13;genus;Arrhenatherum
1;13;genus;Arrhenechthites
1;13;genus;Arrhenia
1;13;genus;Artabotrys
1;13;genus;Artanema
1;13;genus;Artemisia
1;13;genus;Arthocarpus
1;13;genus;Arthothelium
1;13;genus;Arthraxon
1;13;genus;Arthrocaulon
1;13;genus;Arthroclianthus
1;13;genus;Arthrocnemon
